zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
29834,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29160,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29166,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29164,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
32615,201,City of Alachua - (FL),FL,Bundled,Municipal,0.117273946,0,0.128430805
94130,207,City of Alameda,CA,Bundled,Municipal,0.149947294,0,0.153078751
94501,207,City of Alameda,CA,Bundled,Municipal,0.149947294,0,0.153078751
99756,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99754,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99753,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99752,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99750,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99785,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99590,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99620,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99558,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99784,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99783,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99730,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99739,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99769,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99760,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99761,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99765,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99578,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99563,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99666,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99662,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99763,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99771,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99770,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99758,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99552,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99554,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99559,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99742,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99745,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99747,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99748,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99749,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
99665,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.485487572,0,0.565596435
